,rindex,nif,produtos_all,produtos,grupos,total
1316,1316,12090181,"[147, 132, 101, 7, 51, 50, 49, 61, 33, 83, 81, 159, 156, 47, 44, 26, 13, 71, 103, 43, 42, 41, 127, 125, 15, 65, 57]","[147, 132, 101, 7, 51, 50, 49, 61, 33, 83, 81, 159, 156, 47, 44, 26, 13, 71, 103, 43, 42, 41, 127, 125, 15, 65, 57]","[18, 16, 12, 2, 5, 6, 4, 9, 23, 3, 7]",85.7
1317,1317,19704288,"[147, 100, 94, 87, 80, 37, 49, 48, 110, 8, 17, 3, 15, 132, 129, 123, 161, 34, 33, 25, 79, 78, 41, 40, 24, 109, 148, 12]","[147, 100, 94, 87, 80, 37, 49, 48, 110, 8, 17, 3, 15, 132, 129, 123, 161, 34, 33, 25, 79, 78, 41, 40, 24, 109, 148, 12]","[18, 12, 11, 10, 9, 5, 15, 2, 3, 1, 16, 23, 4, 8, 19]",78.4
1318,1318,12025113,"[134, 97, 163, 162, 161, 80, 65, 47, 46, 129, 124, 94, 93, 85, 83, 34, 32, 69, 109, 6, 19, 18, 79, 135, 96, 5, 26, 39]","[134, 97, 163, 162, 161, 80, 65, 47, 46, 129, 124, 94, 93, 85, 83, 34, 32, 69, 109, 6, 19, 18, 79, 135, 96, 5, 26, 39]","[17, 11, 23, 9, 6, 5, 16, 15, 4, 7, 1, 3]",63.0
1319,1319,14315819,"[147, 122, 80, 37, 48, 44, 42, 40, 149, 163, 161, 160, 34, 64, 29, 36, 104, 100, 93, 155, 124, 123, 86, 84, 99, 81, 96, 21, 18, 113]","[147, 122, 80, 37, 48, 44, 42, 40, 149, 163, 161, 160, 34, 64, 29, 36, 104, 100, 93, 155, 124, 123, 86, 84, 99, 81, 96, 21, 18, 113]","[18, 15, 9, 5, 19, 23, 4, 6, 3, 12, 11, 10]",99.2
1320,1320,11344269,"[147, 80, 64, 79, 61, 76, 59, 57, 56, 47, 39, 38, 8, 19, 18, 4, 3, 100, 93, 70, 121, 109, 108, 130, 128, 15, 33, 30, 162, 29, 85]","[147, 80, 64, 79, 61, 76, 59, 57, 56, 47, 39, 38, 8, 19, 18, 4, 3, 100, 93, 70, 121, 109, 108, 130, 128, 15, 33, 30, 162, 29, 85]","[18, 9, 6, 8, 5, 2, 3, 1, 12, 11, 7, 15, 16, 4, 23]",101.0
1321,1321,14354823,"[142, 136, 133, 127, 94, 85, 84, 83, 99, 163, 161, 143, 101, 98, 80, 67, 53, 29, 81, 48, 41, 39, 36, 26, 24, 18, 3, 15, 160]","[142, 136, 133, 127, 94, 85, 84, 83, 99, 163, 161, 143, 101, 98, 80, 67, 53, 29, 81, 48, 41, 39, 36, 26, 24, 18, 3, 15, 160]","[17, 16, 11, 9, 12, 23, 6, 5, 3, 4, 1]",49.9
1322,1322,11031976,"[147, 137, 80, 65, 49, 46, 62, 18, 162, 161, 143, 92, 88, 81, 32, 29, 139, 40, 60, 73, 56, 55, 148, 156, 13]","[147, 137, 80, 65, 49, 46, 62, 18, 162, 161, 143, 92, 88, 81, 32, 29, 139, 40, 60, 73, 56, 55, 148, 156, 13]","[18, 17, 9, 6, 5, 3, 23, 11, 10, 4, 8, 19, 2]",57.3
1323,1323,16501530,"[147, 100, 133, 130, 101, 97, 80, 37, 19, 159, 157, 95, 88, 18, 4, 17, 149, 34, 33, 32, 24, 36, 129, 121, 81, 155, 60, 57]","[147, 100, 133, 130, 101, 97, 80, 37, 19, 159, 157, 95, 88, 18, 4, 17, 149, 34, 33, 32, 24, 36, 129, 121, 81, 155, 60, 57]","[18, 12, 17, 16, 11, 9, 5, 3, 23, 10, 1, 19, 4, 15, 6]",57.5
1324,1324,18586976,"[147, 95, 93, 86, 102, 80, 52, 33, 26, 16, 8, 19, 18, 4, 64, 61, 76, 148, 103, 44, 164, 42, 40, 3, 154, 165, 85, 96]","[147, 95, 93, 86, 102, 80, 52, 33, 26, 16, 8, 19, 18, 4, 64, 61, 76, 148, 103, 44, 164, 42, 40, 3, 154, 165, 85, 96]","[18, 11, 10, 12, 9, 5, 4, 3, 2, 1, 6, 8, 19, 24, 23]",87.9
1325,1325,17335918,"[147, 100, 95, 94, 91, 90, 149, 86, 84, 82, 81, 98, 80, 163, 53, 35, 9, 7, 19, 3, 14, 79, 57, 25, 129, 96, 137, 51, 39, 70, 36, 148]","[147, 100, 95, 94, 91, 90, 149, 86, 84, 82, 81, 98, 80, 163, 53, 35, 9, 7, 19, 3, 14, 79, 57, 25, 129, 96, 137, 51, 39, 70, 36, 148]","[18, 12, 11, 19, 10, 9, 23, 5, 4, 2, 3, 1, 16, 17, 7]",54.4
1326,1326,19556881,"[147, 137, 94, 87, 132, 127, 80, 49, 85, 84, 48, 43, 35, 9, 4, 15, 158, 156, 1, 149, 27, 26, 41, 40, 103]","[147, 137, 94, 87, 132, 127, 80, 49, 85, 84, 48, 43, 35, 9, 4, 15, 158, 156, 1, 149, 27, 26, 41, 40, 103]","[18, 17, 11, 10, 16, 9, 5, 4, 2, 1, 3, 23, 19, 12]",57.7
1327,1327,11489465,"[147, 147, 97, 80, 16, 13, 104, 95, 90, 85, 99, 81, 133, 128, 6, 15, 47, 38, 124, 96, 163, 158, 64, 60]","[147, 97, 80, 16, 13, 104, 95, 90, 85, 99, 81, 133, 128, 6, 15, 47, 38, 124, 96, 163, 158, 64, 60]","[18, 11, 9, 3, 2, 12, 17, 16, 1, 5, 15, 23, 6]",72.1
1328,1328,15363231,"[147, 138, 137, 134, 97, 98, 80, 35, 18, 3, 156, 154, 15, 36, 149, 96, 73, 33, 29, 25, 88, 87, 108, 99, 146, 14, 81, 1, 57]","[147, 138, 137, 134, 97, 98, 80, 35, 18, 3, 156, 154, 15, 36, 149, 96, 73, 33, 29, 25, 88, 87, 108, 99, 146, 14, 81, 1, 57]","[18, 17, 11, 12, 9, 4, 3, 1, 23, 19, 8, 10, 15, 2, 5]",1049.5
1329,1329,10169596,"[147, 141, 134, 80, 67, 19, 18, 4, 17, 1, 87, 81, 10, 163, 24, 16, 51, 48, 39, 38, 36, 116, 161, 159, 74, 108, 132]","[147, 141, 134, 80, 67, 19, 18, 4, 17, 1, 87, 81, 10, 163, 24, 16, 51, 48, 39, 38, 36, 116, 161, 159, 74, 108, 132]","[18, 17, 9, 6, 3, 1, 10, 2, 23, 5, 4, 15, 8, 16]",52.5
1330,1330,14468305,"[147, 105, 101, 102, 80, 53, 18, 4, 17, 85, 83, 99, 81, 68, 136, 130, 129, 49, 124, 34, 33, 62, 74, 70, 26, 158, 157, 155, 151, 14, 47, 46]","[147, 105, 101, 102, 80, 53, 18, 4, 17, 85, 83, 99, 81, 68, 136, 130, 129, 49, 124, 34, 33, 62, 74, 70, 26, 158, 157, 155, 151, 14, 47, 46]","[18, 13, 12, 9, 5, 3, 1, 6, 17, 16, 15, 4, 8, 7, 23, 20, 2]",76.3
1331,1331,11318155,"[147, 122, 94, 93, 92, 156, 90, 86, 82, 99, 102, 80, 35, 20, 21, 9, 33, 29, 132, 130, 18, 129, 125, 148, 108, 69, 49, 39, 154, 17, 80, 1, 151, 24]","[147, 122, 94, 93, 92, 156, 90, 86, 82, 99, 102, 80, 35, 20, 21, 9, 33, 29, 132, 130, 18, 129, 125, 148, 108, 69, 49, 39, 154, 17, 1, 151, 24]","[18, 15, 11, 23, 10, 9, 12, 4, 3, 2, 16, 19, 7, 5, 1, 20]",120.3
1332,1332,16464158,"[147, 98, 80, 65, 52, 53, 37, 34, 33, 50, 161, 159, 156, 48, 47, 44, 29, 24, 36, 12, 60, 40, 131, 127, 125, 54, 19, 18, 4, 17, 16, 95, 154, 110, 103, 38, 81, 152]","[147, 98, 80, 65, 52, 53, 37, 34, 33, 50, 161, 159, 156, 48, 47, 44, 29, 24, 36, 12, 60, 40, 131, 127, 125, 54, 19, 18, 4, 17, 16, 95, 154, 110, 103, 38, 81, 152]","[18, 12, 9, 6, 5, 4, 23, 3, 2, 16, 1, 11, 15, 21]",419.2
1333,1333,10989908,"[161, 159, 157, 156, 137, 105, 102, 97, 80, 67, 47, 45, 44, 41, 133, 131, 130, 128, 155, 154, 79, 60, 35, 29, 135, 73, 8, 19, 18, 15, 1, 71, 16, 104, 39, 85, 99, 12, 114]","[161, 159, 157, 156, 137, 105, 102, 97, 80, 67, 47, 45, 44, 41, 133, 131, 130, 128, 155, 154, 79, 60, 35, 29, 135, 73, 8, 19, 18, 15, 1, 71, 16, 104, 39, 85, 99, 12, 114]","[23, 17, 13, 12, 11, 9, 6, 5, 16, 4, 3, 8, 2, 1, 7, 15]",100.5
1334,1334,16417267,"[147, 137, 132, 128, 80, 65, 18, 109, 108, 33, 29, 25, 24, 16, 47, 124, 4, 44, 40, 36, 162, 161, 83, 161, 157]","[147, 137, 132, 128, 80, 65, 18, 109, 108, 33, 29, 25, 24, 16, 47, 124, 4, 44, 40, 36, 162, 161, 83, 157]","[18, 17, 16, 9, 6, 3, 15, 4, 5, 1, 23]",54.8
1335,1335,12811583,"[147, 97, 98, 80, 60, 143, 57, 45, 8, 131, 130, 157, 39, 33, 27, 129, 125, 156, 154, 83, 124, 1, 24]","[147, 97, 98, 80, 60, 143, 57, 45, 8, 131, 130, 157, 39, 33, 27, 129, 125, 156, 154, 83, 124, 1, 24]","[18, 11, 12, 9, 6, 17, 5, 2, 16, 23, 4, 3, 15, 1]",52.7
1336,1336,19411588,"[147, 102, 80, 67, 37, 8, 19, 49, 44, 156, 154, 90, 85, 150, 62, 77, 29, 133, 36, 144, 74, 120, 18, 27, 13, 4, 2, 109, 96]","[147, 102, 80, 67, 37, 8, 19, 49, 44, 156, 154, 90, 85, 150, 62, 77, 29, 133, 36, 144, 74, 120, 18, 27, 13, 4, 2, 109, 96]","[18, 12, 9, 6, 5, 2, 3, 23, 11, 20, 8, 17, 4, 15, 1]",79.2
1337,1337,12234440,"[147, 162, 155, 154, 8, 19, 18, 15, 79, 60, 74, 57, 94, 84, 83, 42, 34, 29, 41, 38, 36, 10, 149, 24, 81]","[147, 162, 155, 154, 8, 19, 18, 15, 79, 60, 74, 57, 94, 84, 83, 42, 34, 29, 41, 38, 36, 10, 149, 24, 81]","[18, 23, 2, 3, 9, 6, 8, 5, 11, 4, 19]",66.0
1338,1338,18295922,"[147, 161, 154, 137, 134, 80, 37, 48, 47, 43, 38, 16, 132, 131, 129, 128, 21, 18, 79, 2, 94, 87, 150, 126, 96, 164]","[147, 161, 154, 137, 134, 80, 37, 48, 47, 43, 38, 16, 132, 131, 129, 128, 21, 18, 79, 2, 94, 87, 150, 126, 96, 164]","[18, 23, 17, 9, 5, 3, 16, 1, 11, 10, 20, 24]",91.0
1339,1339,19030099,"[147, 137, 138, 134, 94, 93, 88, 143, 80, 8, 19, 18, 4, 29, 27, 87, 86, 85, 82, 81, 39, 38, 156, 69, 133, 155]","[147, 137, 138, 134, 94, 93, 88, 143, 80, 8, 19, 18, 4, 29, 27, 87, 86, 85, 82, 81, 39, 38, 156, 69, 133, 155]","[18, 17, 11, 10, 9, 2, 3, 1, 5, 23, 7]",52.1
1340,1340,15760804,"[147, 134, 81, 67, 33, 18, 17, 14, 161, 154, 64, 77, 44, 39, 74, 80, 59, 73, 32, 27, 25, 149, 136, 131, 130, 126]","[147, 134, 81, 67, 33, 18, 17, 14, 161, 154, 64, 77, 44, 39, 74, 80, 59, 73, 32, 27, 25, 149, 136, 131, 130, 126]","[18, 17, 9, 6, 4, 3, 2, 23, 8, 5, 19, 16]",91.0
1341,1341,10009016,"[80, 37, 7, 18, 51, 47, 44, 40, 34, 36, 22, 87, 131, 128, 126, 61, 39, 159, 86, 83, 13, 108, 157, 70]","[80, 37, 7, 18, 51, 47, 44, 40, 34, 36, 22, 87, 131, 128, 126, 61, 39, 159, 86, 83, 13, 108, 157, 70]","[9, 5, 2, 3, 4, 10, 16, 6, 23, 15, 7]",42.5
1342,1342,18786053,"[147, 137, 134, 105, 80, 67, 108, 95, 53, 37, 35, 33, 32, 161, 160, 155, 154, 165, 91, 89, 133, 79, 77, 48, 46, 88, 87, 27, 26, 25, 4, 85, 84, 130, 128, 10, 124, 75]","[147, 137, 134, 105, 80, 67, 108, 95, 53, 37, 35, 33, 32, 161, 160, 155, 154, 165, 91, 89, 133, 79, 77, 48, 46, 88, 87, 27, 26, 25, 4, 85, 84, 130, 128, 10, 124, 75]","[18, 17, 13, 9, 6, 15, 11, 5, 4, 23, 24, 8, 10, 3, 1, 16, 2]",93.8
1343,1343,15987698,"[141, 89, 84, 82, 81, 133, 69, 149, 109, 147, 98, 80, 67, 47, 35, 34, 25, 16, 161, 160, 156, 44, 59, 58, 155, 127, 18, 4, 1, 43]","[141, 89, 84, 82, 81, 133, 69, 149, 109, 147, 98, 80, 67, 47, 35, 34, 25, 16, 161, 160, 156, 44, 59, 58, 155, 127, 18, 4, 1, 43]","[17, 11, 9, 7, 19, 15, 18, 12, 6, 5, 4, 3, 23, 16, 1]",111.1
1344,1344,18207769,"[147, 65, 49, 88, 87, 86, 158, 156, 154, 116, 19, 18, 17, 127, 47, 45, 44, 126, 125, 34, 16]","[147, 65, 49, 88, 87, 86, 158, 156, 154, 116, 19, 18, 17, 127, 47, 45, 44, 126, 125, 34, 16]","[18, 6, 5, 10, 23, 15, 3, 16, 4]",46.6
1345,1345,11310237,"[147, 148, 134, 98, 80, 53, 20, 18, 4, 114, 111, 93, 89, 87, 85, 84, 69, 62, 59, 58, 42, 40, 133, 131, 32, 26, 25, 56, 16, 128, 159]","[147, 148, 134, 98, 80, 53, 20, 18, 4, 114, 111, 93, 89, 87, 85, 84, 69, 62, 59, 58, 42, 40, 133, 131, 32, 26, 25, 56, 16, 128, 159]","[18, 19, 17, 12, 9, 5, 3, 1, 15, 11, 10, 7, 6, 16, 4, 23]",147.1
1346,1346,14884464,"[147, 131, 128, 127, 106, 101, 80, 61, 53, 35, 6, 94, 76, 121, 48, 47, 43, 42, 160, 159, 5, 18, 4, 17, 16, 3, 124, 123, 87, 81, 41, 26, 12, 40, 15]","[147, 131, 128, 127, 106, 101, 80, 61, 53, 35, 6, 94, 76, 121, 48, 47, 43, 42, 160, 159, 5, 18, 4, 17, 16, 3, 124, 123, 87, 81, 41, 26, 12, 40, 15]","[18, 16, 13, 12, 9, 6, 5, 4, 1, 11, 8, 15, 23, 3, 10, 2]",68.3
1347,1347,14279302,"[147, 52, 64, 76, 73, 37, 35, 30, 110, 48, 46, 16, 88, 84, 132, 131, 109, 19, 162, 159, 158, 9, 42]","[147, 52, 64, 76, 73, 37, 35, 30, 110, 48, 46, 16, 88, 84, 132, 131, 109, 19, 162, 159, 158, 9, 42]","[18, 5, 6, 8, 4, 3, 15, 10, 9, 16, 23, 2]",58.1
1348,1348,16759578,"[106, 97, 163, 161, 160, 159, 158, 157, 151, 85, 67, 79, 57, 54, 85, 82, 130, 129, 53, 37, 51, 47, 44, 39, 81, 38, 34, 32, 36, 147, 18]","[106, 97, 163, 161, 160, 159, 158, 157, 151, 85, 67, 79, 57, 54, 82, 130, 129, 53, 37, 51, 47, 44, 39, 81, 38, 34, 32, 36, 147, 18]","[13, 11, 23, 20, 9, 6, 5, 16, 4, 18, 3]",60.9
1349,1349,16654803,"[147, 141, 95, 94, 88, 87, 85, 84, 83, 80, 66, 21, 9, 131, 129, 126, 5, 18, 16, 50, 161, 154, 26, 36, 13, 99, 125, 62, 61, 121, 164, 40]","[147, 141, 95, 94, 88, 87, 85, 84, 83, 80, 66, 21, 9, 131, 129, 126, 5, 18, 16, 50, 161, 154, 26, 36, 13, 99, 125, 62, 61, 121, 164, 40]","[18, 17, 11, 10, 9, 6, 3, 2, 16, 1, 5, 23, 4, 12, 15, 24]",119.7
1350,1350,19765859,"[147, 145, 134, 80, 47, 46, 136, 133, 34, 32, 29, 21, 9, 19, 162, 159, 156, 155, 151, 118, 110, 100, 95, 91, 81, 125, 8, 18, 15, 25]","[147, 145, 134, 80, 47, 46, 136, 133, 34, 32, 29, 21, 9, 19, 162, 159, 156, 155, 151, 118, 110, 100, 95, 91, 81, 125, 8, 18, 15, 25]","[18, 17, 9, 5, 4, 3, 2, 23, 20, 15, 12, 11, 16]",96.2
1351,1351,15686442,"[147, 138, 122, 105, 87, 99, 132, 130, 129, 125, 157, 109, 103, 80, 37, 19, 18, 4, 1, 43, 34, 27, 25, 74, 154, 153, 151, 81, 150, 148]","[147, 138, 122, 105, 87, 99, 132, 130, 129, 125, 157, 109, 103, 80, 37, 19, 18, 4, 1, 43, 34, 27, 25, 74, 154, 153, 151, 81, 150, 148]","[18, 17, 15, 13, 10, 12, 16, 23, 9, 5, 3, 1, 4, 8, 22, 20, 19]",128.3
1352,1352,12811583,"[147, 95, 88, 86, 80, 37, 5, 18, 3, 33, 131, 127, 79, 76, 161, 40, 39, 160, 83, 99, 81, 36, 16]","[147, 95, 88, 86, 80, 37, 5, 18, 3, 33, 131, 127, 79, 76, 161, 40, 39, 160, 83, 99, 81, 36, 16]","[18, 11, 10, 9, 5, 1, 3, 4, 16, 8, 23, 12]",35.1
1353,1353,18283864,"[147, 161, 157, 122, 104, 94, 93, 86, 85, 84, 101, 97, 67, 18, 17, 15, 27, 26, 45, 43, 36, 64, 74, 149]","[147, 161, 157, 122, 104, 94, 93, 86, 85, 84, 101, 97, 67, 18, 17, 15, 27, 26, 45, 43, 36, 64, 74, 149]","[18, 23, 15, 12, 11, 10, 9, 6, 3, 5, 4, 8, 19]",65.1
1354,1354,12313538,"[147, 80, 37, 29, 24, 163, 155, 5, 39, 79, 18, 16, 14, 36, 88, 111, 129, 86, 85, 151]","[147, 80, 37, 29, 24, 163, 155, 5, 39, 79, 18, 16, 14, 36, 88, 111, 129, 86, 85, 151]","[18, 9, 5, 3, 23, 1, 2, 4, 10, 15, 16, 20]",42.0
1355,1355,17099648,"[137, 97, 98, 80, 67, 34, 136, 132, 6, 19, 18, 16, 2, 49, 47, 44, 42, 33, 87, 86, 85, 15, 1, 36, 25, 24, 81, 16, 157, 156, 117, 64, 79]","[137, 97, 98, 80, 67, 34, 136, 132, 6, 19, 18, 16, 2, 49, 47, 44, 42, 33, 87, 86, 85, 15, 1, 36, 25, 24, 81, 157, 156, 117, 64, 79]","[17, 11, 12, 9, 6, 4, 16, 1, 3, 5, 10, 23, 15]",75.3
1356,1356,15904752,"[147, 141, 81, 97, 65, 37, 49, 48, 46, 45, 5, 3, 130, 127, 162, 157, 156, 147, 121, 26, 16, 41]","[147, 141, 81, 97, 65, 37, 49, 48, 46, 45, 5, 3, 130, 127, 162, 157, 156, 121, 26, 16, 41]","[18, 17, 9, 11, 6, 5, 1, 16, 23, 15, 3]",41.9
1357,1357,11991492,"[147, 98, 80, 42, 39, 38, 62, 75, 74, 124, 5, 147, 162, 160, 154, 95, 86, 84, 99, 81, 123, 151, 68, 18, 16, 72]","[147, 98, 80, 42, 39, 38, 62, 75, 74, 124, 5, 162, 160, 154, 95, 86, 84, 99, 81, 123, 151, 68, 18, 16, 72]","[18, 12, 9, 5, 6, 8, 15, 1, 23, 11, 10, 20, 3, 7]",82.8
1358,1358,14002448,"[147, 137, 89, 88, 85, 84, 83, 82, 102, 80, 52, 41, 9, 19, 18, 18, 16, 131, 129, 34, 32, 64, 113, 158, 155, 151, 81, 123, 148, 15, 25, 149]","[147, 137, 89, 88, 85, 84, 83, 82, 102, 80, 52, 41, 9, 19, 18, 16, 131, 129, 34, 32, 64, 113, 158, 155, 151, 81, 123, 148, 15, 25, 149]","[18, 17, 11, 10, 9, 12, 5, 2, 3, 16, 4, 6, 15, 23, 20, 19]",86.6
1359,1359,18232226,"[147, 137, 80, 67, 66, 52, 8, 7, 6, 19, 18, 17, 16, 14, 1, 48, 43, 42, 108, 154, 151, 95, 84, 99, 62, 33, 69, 27, 96, 126]","[147, 137, 80, 67, 66, 52, 8, 7, 6, 19, 18, 17, 16, 14, 1, 48, 43, 42, 108, 154, 151, 95, 84, 99, 62, 33, 69, 27, 96, 126]","[18, 17, 9, 6, 5, 2, 1, 3, 15, 23, 20, 11, 12, 4, 7, 16]",71.8
1360,1360,11489465,"[108, 101, 102, 98, 80, 37, 43, 34, 32, 29, 26, 36, 12, 157, 156, 93, 91, 87, 93, 86, 81, 61, 154, 133, 126, 74, 54, 18, 4, 96, 2, 125, 40]","[108, 101, 102, 98, 80, 37, 43, 34, 32, 29, 26, 36, 12, 157, 156, 93, 91, 87, 86, 81, 61, 154, 133, 126, 74, 54, 18, 4, 96, 2, 125, 40]","[15, 12, 9, 5, 4, 3, 2, 23, 11, 10, 6, 17, 16, 8, 1]",69.8
1361,1361,10122562,"[142, 147, 141, 104, 100, 94, 90, 161, 106, 80, 52, 37, 35, 19, 156, 89, 69, 5, 103, 151, 17, 10, 26, 39]","[142, 147, 141, 104, 100, 94, 90, 161, 106, 80, 52, 37, 35, 19, 156, 89, 69, 5, 103, 151, 17, 10, 26, 39]","[17, 18, 12, 11, 23, 13, 9, 5, 4, 3, 7, 1, 20, 2]",52.2
1362,1362,13859021,"[142, 147, 80, 67, 35, 6, 19, 18, 17, 14, 127, 62, 79, 61, 60, 100, 94, 85, 84, 40, 59, 124, 33, 30, 29, 24, 16, 82, 36, 70]","[142, 147, 80, 67, 35, 6, 19, 18, 17, 14, 127, 62, 79, 61, 60, 100, 94, 85, 84, 40, 59, 124, 33, 30, 29, 24, 16, 82, 36, 70]","[17, 18, 9, 6, 4, 1, 3, 2, 16, 12, 11, 5, 15, 7]",99.1
1363,1363,18207769,"[147, 104, 116, 130, 128, 161, 155, 154, 151, 139, 80, 35, 33, 95, 93, 89, 88, 86, 81, 19, 17, 16, 38, 80, 62, 74, 15, 113]","[147, 104, 116, 130, 128, 161, 155, 154, 151, 139, 80, 35, 33, 95, 93, 89, 88, 86, 81, 19, 17, 16, 38, 62, 74, 15, 113]","[18, 12, 15, 16, 23, 20, 17, 9, 4, 11, 10, 3, 5, 6, 8]",56.2
1364,1364,15026902,"[147, 122, 132, 131, 125, 124, 123, 97, 98, 80, 53, 37, 47, 46, 41, 120, 35, 30, 118, 81, 68, 165, 154, 18, 62, 59, 16, 38]","[147, 122, 132, 131, 125, 124, 123, 97, 98, 80, 53, 37, 47, 46, 41, 120, 35, 30, 118, 81, 68, 165, 154, 18, 62, 59, 16, 38]","[18, 15, 16, 11, 12, 9, 5, 4, 3, 6, 24, 23]",101.7
1365,1365,16484246,"[145, 137, 134, 105, 100, 94, 97, 98, 80, 37, 14, 138, 62, 75, 147, 93, 87, 96, 131, 127, 57, 48, 154, 150, 43, 85, 149, 148, 125, 84, 81]","[145, 137, 134, 105, 100, 94, 97, 98, 80, 37, 14, 138, 62, 75, 147, 93, 87, 96, 131, 127, 57, 48, 154, 150, 43, 85, 149, 148, 125, 84, 81]","[17, 13, 12, 11, 9, 5, 2, 6, 8, 18, 10, 16, 23, 20, 19]",50.4
1366,1366,14548585,"[147, 134, 95, 80, 51, 49, 45, 43, 108, 147, 74, 70, 35, 4, 135, 34, 30, 149, 94, 16, 22, 81]","[147, 134, 95, 80, 51, 49, 45, 43, 108, 74, 70, 35, 4, 135, 34, 30, 149, 94, 16, 22, 81]","[18, 17, 11, 9, 5, 15, 8, 7, 4, 1, 3, 19]",50.3
1367,1367,12055963,"[163, 159, 147, 100, 84, 99, 81, 131, 125, 102, 97, 80, 37, 9, 18, 27, 36, 12, 40, 10, 148, 71, 154, 38]","[163, 159, 147, 100, 84, 99, 81, 131, 125, 102, 97, 80, 37, 9, 18, 27, 36, 12, 40, 10, 148, 71, 154, 38]","[23, 18, 12, 9, 16, 11, 5, 2, 3, 4, 19, 7]",63.9
1368,1368,19765859,"[141, 137, 134, 122, 130, 128, 96, 95, 80, 67, 65, 52, 53, 37, 35, 34, 33, 32, 18, 93, 61, 71, 154, 55, 51, 50, 45, 42, 40, 39, 82, 4, 17]","[141, 137, 134, 122, 130, 128, 96, 95, 80, 67, 65, 52, 53, 37, 35, 34, 33, 32, 18, 93, 61, 71, 154, 55, 51, 50, 45, 42, 40, 39, 82, 4, 17]","[17, 15, 16, 11, 9, 6, 5, 4, 3, 7, 23, 1]",80.7
1369,1369,19298623,"[147, 161, 158, 156, 134, 80, 67, 45, 43, 41, 40, 36, 35, 19, 18, 4, 17, 16, 133, 132, 131, 89, 88, 84, 83, 34, 116, 111, 33, 29, 16, 149, 61, 130]","[147, 161, 158, 156, 134, 80, 67, 45, 43, 41, 40, 36, 35, 19, 18, 4, 17, 16, 133, 132, 131, 89, 88, 84, 83, 34, 116, 111, 33, 29, 149, 61, 130]","[18, 23, 17, 9, 6, 5, 4, 3, 1, 16, 11, 10, 15, 19]",84.3
1370,1370,10122562,"[159, 156, 165, 134, 80, 48, 45, 44, 38, 33, 90, 86, 9, 17, 15, 133, 77, 74, 32, 85, 83, 2, 154, 73, 27, 147, 70, 135]","[159, 156, 165, 134, 80, 48, 45, 44, 38, 33, 90, 86, 9, 17, 15, 133, 77, 74, 32, 85, 83, 2, 154, 73, 27, 147, 70, 135]","[23, 24, 17, 9, 5, 4, 11, 10, 2, 3, 8, 1, 18, 7]",73.3
1371,1371,11382983,"[147, 97, 80, 53, 37, 47, 161, 95, 89, 88, 87, 79, 75, 157, 155, 45, 44, 39, 36, 83, 81, 18, 15, 148, 128, 55, 96]","[147, 97, 80, 53, 37, 47, 161, 95, 89, 88, 87, 79, 75, 157, 155, 45, 44, 39, 36, 83, 81, 18, 15, 148, 128, 55, 96]","[18, 11, 9, 5, 23, 10, 8, 4, 3, 19, 16]",45.0
1372,1372,14828611,"[142, 147, 141, 137, 80, 67, 65, 53, 18, 17, 14, 47, 43, 41, 132, 79, 95, 88, 34, 32, 128, 121, 84, 165, 158, 155, 40, 1, 16, 12, 126, 154]","[142, 147, 141, 137, 80, 67, 65, 53, 18, 17, 14, 47, 43, 41, 132, 79, 95, 88, 34, 32, 128, 121, 84, 165, 158, 155, 40, 1, 16, 12, 126, 154]","[17, 18, 9, 6, 5, 3, 2, 16, 11, 10, 4, 15, 24, 23, 1]",74.2
1373,1373,12446571,"[137, 134, 80, 67, 53, 37, 49, 60, 57, 162, 161, 47, 8, 19, 4, 133, 130, 124, 87, 99, 69, 13, 38]","[137, 134, 80, 67, 53, 37, 49, 60, 57, 162, 161, 47, 8, 19, 4, 133, 130, 124, 87, 99, 69, 13, 38]","[17, 9, 6, 5, 23, 2, 3, 1, 16, 15, 10, 12, 7]",50.6
1374,1374,18432838,"[147, 132, 130, 156, 97, 80, 52, 35, 9, 8, 19, 18, 17, 16, 94, 86, 44, 41, 39, 64, 79, 76, 57, 148, 33, 32, 129, 123, 85, 38, 29]","[147, 132, 130, 156, 97, 80, 52, 35, 9, 8, 19, 18, 17, 16, 94, 86, 44, 41, 39, 64, 79, 76, 57, 148, 33, 32, 129, 123, 85, 38, 29]","[18, 16, 23, 11, 9, 5, 4, 2, 3, 10, 6, 8, 19, 15]",86.8
1375,1375,18526126,"[147, 134, 100, 106, 80, 76, 42, 159, 157, 154, 90, 87, 85, 84, 100, 81, 57, 35, 34, 41, 38, 18, 118, 130, 127, 164, 15, 32, 148]","[147, 134, 100, 106, 80, 76, 42, 159, 157, 154, 90, 87, 85, 84, 81, 57, 35, 34, 41, 38, 18, 118, 130, 127, 164, 15, 32, 148]","[18, 17, 12, 13, 9, 8, 5, 23, 11, 10, 4, 3, 15, 16, 24, 19]",82.0
1376,1376,16613081,"[141, 106, 98, 37, 19, 5, 18, 4, 16, 14, 132, 130, 45, 39, 160, 100, 84, 82, 81, 78, 76, 59, 158, 156, 57, 96, 34, 13, 150]","[141, 106, 98, 37, 19, 5, 18, 4, 16, 14, 132, 130, 45, 39, 160, 100, 84, 82, 81, 78, 76, 59, 158, 156, 57, 96, 34, 13, 150]","[17, 13, 12, 5, 3, 1, 2, 16, 23, 9, 8, 6, 11, 4, 20]",68.7
